lib_id	norRNA_reads
19MHMZJZAW1740	2858292
19MHMZJZAW1741	2875080
19MHMZJZAW1743	1969386
19MHMZJZAW1742	2870722
19MHMZJZAW1745	1185083
19MHMZJZAW1747	1834493
19MHMZJZAW1744	3016331
19MHMZJZAW1746	2852957
19MHMZJZAW1748	2856167
19MHMZJZAW1749	2770609
19MHMZJZAW1750	2442937
19MHMZJZAW1751	2925288
19MHMZJZAW1752	1808700
19MHMZJZAW1753	2205560
19MHMZJZAW1754	2607579
19MHMZJZAW1756	3107936
19MHMZJZKW1703	2479814
19MHMZJZAW1755	3744035
19MHMZJZKW1706	1041771
19MHMZJZKW1704	2210789
19MHMZJZKW1708	1071492
19MHMZJZKW1709	1222301
19MHMZJZKW1705	4326617
19MHMZJZKW1707	3427667
19MHMZJZKW1710	2575688
19MHMZJZKW1711	4551004
19MHMZJZKW1712	4274468
19MHMZJZKW1713	3749292
19MHMZJZSDH1716	2287774
19MHMZJZKW1714	5372194
19MHMZJZSDH1717	2507840
19MHMZJZSDH1715	3292739
19MHMZJZSDH1718	1968504
19MHMZJZSDH1720	1554335
19MHMZJZSDH1719	1984694
19MHMZJZSDH1721	2744198
19MHMZJZSDH1723	2235930
19MHMZJZSDH1725	1532540
19MHMZJZSDH1727	751099
19MHMZJZSDH1724	3567209
19MHMZJZSDH1722	4363629
19MHMZJZSDH1726	1645149
19MHMZJZSDH1731	681629
19MHMZJZSDH1730	1412314
19MHMZJZSDH1729	2656523
19MHMZJZSDH1728	2687297
19MHMZJZSDH1733	2642987
19MHMZJZSDH1734	1946863
19MHMZJZSDH1732	4025007
19MHMZJZSR1735	3174997
19NBBM2111	937029
19MHMZJZYW1702	2342111
19NBBM2113	1221209
19MHMZJZSR1736	3266091
19NBKW2081	2006790
19NBBM2112	3668666
19NBKW2083	2008637
19NBKW2082	2449237
19NBKW2085	1547827
19NBKW2087	2429738
19NBKW2086	2854954
19NBKW2088	2142206
19NBKW2084	4275395
19NBKW2089	2482019
19NBSDH2092	1367990
19NBKW2090	2421529
19NBSDH2091	1745406
19NBSDH2094	1023382
19NBSDH2093	1339315
19NBSDH2095	1244048
19NBSDH2096	1421142
19NBSDH2097	1384690
19NBSDH2099	1209055
19NBSDH2098	1388729
19NBSDH2100	1055809
19NBSR2103	3174711
19NBSR2101	3653927
19NBSR2102	3508375
19NBSR2104	3615704
19NBSR2107	3092086
19NBSR2106	3279275
19NBSR2105	3629581
19NBSR2108	3062461
19NBYW2072	1718252
19NBSR2110	3088070
19NBYW2071	2619582
19NBSR2109	4458955
19NBYW2073	2855792
19NBYW2075	2358743
19NBYW2076	1790390
19NBYW2074	3123251
19NBYW2077	2113552
19NBYW2078	2189108
19NBYW2079	2757299
19NBYW2080	2414255
19NMKW0983	2074066
19NMKW0981	3283337
19NMKW0984	3293335
19NMKW0982	5272695
19NMKW0985	2515164
19NMKW0986	3989273
19NMKW0987	2896643
19NMKW0988	4450219
19NMKW0990	3225750
19NMKW0989	5739373
19NXKW0895	2855088
19NXKW0896	3140175
19NXKW0894	6410230
19NXKW0897	3617393
19NXKW0899	4317458
19NXKW0898	6235966
19NXKW0900	4827427
19NXKW0901	5623265
19NXKW0903	2923206
19NXKW0902	5198614
19QDAW2056	3345476
19QDAW2057	3987490
19QDAW2055	8770182
19QDAW2058	7054473
19QDAW2060	3012868
19QDAW2061	3621418
19QDAW2059	6271340
19QDBM2065	3440546
19QDAW2062	3887606
19QDAW2064	4569714
19QDAW2063	4224953
19QDBM2067	4588700
19QDBM2066	7890279
19QDBM2068	6623737
19QDBM2070	3867166
19QDBM2069	5587151
19QDKW2038	2999713
19QDKW2037	3238749
19QDSDH2040	2017471
19QDSDH2042	3579860
19QDSDH2041	3594200
19QDKW2039	7120549
19QDSDH2043	4648468
19QDSDH2044	2089813
19QDSR2045	3853227
19QDSR2046	5033425
19QDSR2048	5506099
19QDSR2049	5476588
19QDSR2047	7158064
19QDSR2050	5635690
19QDSR2051	5233896
19QDYW2027	2448964
19QDSR2052	5128640
19QDSR2053	6163479
19QDYW2029	4371271
19QDYW2028	3891590
19QDSR2054	7829274
19QDYW2030	3071373
19QDYW2033	1601742
19QDYW2034	1437270
19QDYW2032	2849163
19QDYW2031	4177743
19QDYW2036	3670792
19QDYW2035	3905046
19SAXKW1855	4219106
19SAXKW1856	5174128
19SAXKW1858	3120571
19SAXKW1859	4601972
19SAXKW1857	5532363
19SAXKW1861	2880125
19SAXKW1860	4316138
19SAXKW1862	2566329
19SAXKW1864	3636608
19SAXKW1863	4498209
19SAXSDH1866	4973117
19SAXSDH1868	2837441
19SAXSDH1865	7154430
19SAXSDH1870	2176584
19SAXSDH1869	4161452
19SAXSR1873	77622
19SAXSDH1867	7846934
19SAXSR1872	3809181
19SAXSR1871	5003519
19SAXSR1874	5202111
19SAXSR1875	5449849
19SAXSR1877	3638645
19SAXSR1878	2777868
19SAXSR1876	5131403
19SAXSR1880	3919327
19SAXSR1879	4504034
19SAXYW1847	2079188
19SAXYW1846	4554753
19SAXYW1848	2339333
19SAXYW1845	5990619
19SAXYW1849	2628619
19SAXYW1850	4589791
19SAXYW1851	4983349
19SAXYW1853	4475019
19SAXYW1852	5911639
19SAXYW1854	3232829
19SCAW0874	4417917
19SCAW0876	4755426
19SCAW0875	6279558
19SCAW0877	5349259
19SCAW0878	4855206
19SCAW0880	2797201
19SCAW0879	3347493
19SCAW0882	3482136
19SCKW0844	4496696
19SCAW0881	5238006
19SCKW0845	2968177
19SCAW0883	6725486
19SCKW0846	5046535
19SCKW0847	5591558
19SCKW0848	4075680
19SCKW0849	3362648
19SCKW0850	3598098
19SCKW0851	4264430
19SCKW0852	3456045
19SCKW0853	2936354
19SCSDH0854	3329865
19SCSDH0855	3280278
19SCSDH0856	4050084
19SCSDH0858	2757521
19SCSDH0857	5418744
19SCSDH0859	4147680
19SCSDH0860	3951653
19SCSDH0861	4034437
19SCSDH0862	3503644
19SCSDH0863	3625130
19SCSR0866	5069727
19SCSR0864	7181322
19SCSR0865	6222514
19SCSR0867	8155496
19SCSR0868	4498981
19SCSR0870	5561222
19SCSR0869	8342898
19SCSR0872	4612085
19SCSR0871	6073566
19SCSR0873	6350441
19SCYW0834	5131778
19SCYW0835	4829124
19SCYW0836	5520542
19SCYW0839	3767940
19SCYW0837	5207643
19SCYW0838	7005211
19SCYW0840	5620869
19SXKW0904	2951198
19SCYW0841	6401144
19SCYW0842	7098654
19SXKW0905	3405975
19SCYW0843	6781634
19SXKW0906	4438926
19SXKW0907	5275553
19SXKW0909	4363441
19SXKW0908	4857782
19SXKW0910	5045760
19SXKW0911	4350497
19SXKW0913	4076858
19SXKW0912	5398921
19SYBM1028	3459897
19SYBM1029	4387753
19SYBM1032	2457048
19SYBM1031	4146099
19SYBM1030	4115813
19SYKW1001	3111161
19SYBM1033	3380454
19SYKW1005	2789049
19SYKW1004	4544774
19SYKW1003	5144576
19SYKW1002	6074523
19SYKW1006	4062793
19SYKW1007	2877112
19SYKW1008	2673727
19SYSDH1011	1436758
19SYSDH1012	1405028
19SYKW1009	4848951
19SYSDH1014	1164751
19SYSDH1013	1624422
19SYKW1010	4098912
19SYSDH1015	1436222
19SYSDH1016	1925329
19SYSDH1018	1685350
19SYSDH1020	1372813
19SYSDH1019	2541790
19SYSDH1017	4495290
19SYSR1021	3482440
19SYSR1022	3978386
19SYSR1023	4698147
19SYSR1024	4451805
19SYYW0991	3641340
19SYSR1027	4958666
19SYSR1026	5973332
19SYSR1025	8036569
19SYYW0992	2444027
19SYYW0995	2330714
19SYYW0993	3896767
19SYYW0996	1986720
19SYYW0994	5267423
19SYYW0998	3191029
19SYYW0999	2644564
19SYYW0997	3565835
19SYYW1000	3021003
19WHAW1922	5428107
19WHAW1923	6925740
19WHAW1921	10018420
19WHAW1924	8447431
19WHAW1925	5556939
19WHAW1926	5640854
19WHAW1928	3910366
19WHAW1927	5306812
19WHAW1929	4869613
19WHKW1892	3992053
19WHAW1930	5138262
19WHKW1891	5093339
19WHKW1894	3307816
19WHKW1895	3857138
19WHKW1893	4374375
19WHKW1896	5479335
19WHKW1897	4324271
19WHKW1898	4244730
19WHKW1899	5241394
19WHSDH1902	2705007
19WHKW1900	5098089
19WHSDH1903	3756077
19WHSDH1904	4227482
19WHSDH1901	7302989
19WHSDH1905	5713358
19WHSDH1907	4297236
19WHSDH1906	5351009
19WHSDH1908	5031343
19WHSDH1909	4710695
19WHSR1911	3019217
19WHSDH1910	3769220
19WHSR1914	4094114
19WHSR1913	6606764
19WHSR1912	9919249
19WHSR1915	8308783
19WHSR1919	2753646
19WHSR1916	9073857
19WHSR1917	5954814
19WHSR1918	5283245
19WHSR1920	4937471
19WHYW1882	2591769
19WHYW1883	2688750
19WHYW1881	4368037
19WHYW1884	2136926
19WHYW1886	2769389
19WHYW1887	2815273
19WHYW1888	2314226
19XJYW1034	126853
19XJYW1035	309650
19WHYW1885	5086554
19XJYW1036	1280352
19XJYW1038	754420
19WHYW1890	4145235
19WHYW1889	4388374
19XJYW1037	2046278
19XJYW1040	396652
19XJYW1039	736218
19XJYW1043	681140
19XJYW1041	1285326
19XZKW1044	1886055
19XZKW1045	3010594
19XZKW1046	2032762
19XJYW1042	4657573
19XZKW1047	3190034
19XZKW1050	2683541
19XZKW1048	2685829
19XZKW1053	1371331
19XZKW1049	3206105
19XZKW1051	3578263
19XZKW1052	3000310
20AHAW0232	7590117
20AHAW0233	10128800
20AHAW0235	9425537
20AHAW0234	6071879
20AHAW0238	5851552
20AHAW0236	10298412
20AHAW0239	5715841
20AHAW0240	4821001
20AHKW0202	3673011
20AHAW0237	11868260
20AHAW0241	7116102
20AHKW0203	5939767
20AHKW0204	7522336
20AHKW0206	4258726
20AHKW0205	8664548
20AHKW0207	6195459
20AHKW0210	5065532
20AHKW0208	5789707
20AHSDH0214	1579106
20AHKW0211	7869183
20AHSDH0213	5422122
20AHSDH0216	3491141
20AHSDH0215	4149196
20AHSDH0212	8760598
20AHSDH0218	3376350
20AHSDH0217	7429175
20AHSDH0220	7836406
20AHSDH0219	8680146
20AHSDH0221	7970359
20AHSR0224	5819202
20AHSR0222	8760736
20AHSR0223	9423050
20AHSR0226	6166803
20AHSR0227	8600410
20AHSR0230	7485908
20AHSR0228	10759477
20AHSR0229	9943465
20AHYW0193	4264473
20AHSR0231	7588356
20AHYW0194	5101535
20AHYW0192	7417261
20AHYW0195	5620811
20AHYW0197	4143962
20AHYW0196	5605283
20AHYW0198	3861618
20AHYW0200	3581686
20BJKW0477	3691073
20AHYW0199	6347985
20BJKW0479	2276688
20AHYW0201	6267435
20BJKW0478	4615011
20BJKW0480	3165784
20BJKW0482	3741930
20BJKW0484	4072640
20BJKW0481	5183004
20BJKW0483	4673385
20BJKW0485	3277773
20BJSR0487	5030178
20BJSR0489	3141501
20BJSR0488	6078860
20BJKW0486	7916537
20BJSR0490	5321159
20BJSR0492	3977946
20BJSR0493	4448614
20BJSR0491	8057037
20BJSR0495	2977980
20BJYW0467	4553960
20BJSR0496	5460552
20BJYW0468	4713375
20BJSR0494	7288230
20BJYW0469	5753103
20BJYW0471	5738829
20BJYW0470	6473870
20BJYW0472	5575608
20BJYW0475	5728703
20BJYW0473	6781487
20BJYW0476	5425721
20BJYW0474	10326787
20CY1KW1508	4013959
20CY1AW1538	4829748
20CY1KW1509	3720171
20CY1KW1511	2755930
20CY1KW1510	3828837
20CY1KW1512	3230530
20CY1KW1513	2413624
20CY1KW1515	2360994
20CY1KW1516	1086261
20CY1KW1517	1622260
20CY1SDH1519	947538
20CY1SDH1518	1119280
20CY1KW1514	3601982
20CY1SDH1523	677718
20CY1SDH1521	955235
20CY1SDH1522	931652
20CY1SDH1525	1214026
20CY1SDH1520	2839880
20CY1SDH1526	1647087
20CY1SDH1524	2820645
20CY1SDH1527	1319050
20CY1SR1529	3309771
20CY1SR1531	2820065
20CY1SR1530	4421372
20CY1SR1528	5662117
20CY1SR1534	2679391
20CY1SR1532	4980451
20CY1SR1535	3768831
20CY1SR1533	5290670
20CY1YW1498	2123974
20CY1YW1499	2170045
20CY1SR1536	4415873
20CY1SR1537	5287146
20CY1YW1500	2599083
20CY1YW1501	2287521
20CY1YW1503	2105051
20CY1YW1502	2708228
20CY1YW1504	2132089
20CY1YW1506	1946294
20CY1YW1505	3108068
20CY2KW1543	1828391
20CY1YW1507	2827472
20CY2KW1545	1666041
20CY2KW1544	4666387
20CY2KW1547	3039575
20CY2KW1548	3709272
20CY2KW1549	2194496
20CY2KW1546	6172270
20CY2SDH1556	1594839
20CY2KW1550	3334379
20CY2SDH1557	1916272
20CY2SDH1559	2392425
20CY2SDH1558	2973682
20CY2SDH1560	2220996
20CY2SDH1553	6667134
20DHMAW1407	2385104
20DHMAW1405	2472152
20DHMAW1406	3001507
20DHMAW1409	1188113
20DHMAW1408	2294032
20DHMAW1410	1631222
20DHMAW1411	1867954
20DHMAW1412	2032542
20DHMAW1413	2393129
20DHMAW1415	1789858
20DHMKW1376	1927896
20DHMAW1414	2148213
20DHMKW1379	1453717
20DHMKW1378	1667762
20DHMKW1377	2291139
20DHMKW1380	2535852
20DHMKW1381	1413668
20DHMKW1385	1447323
20DHMKW1384	1737311
20DHMKW1382	2901958
20DHMKW1383	2565824
20DHMSDH1386	1291663
20DHMSDH1389	1468399
20DHMSDH1388	1975760
20DHMSDH1387	2343971
20DHMSDH1392	1014948
20DHMSDH1391	1173720
20DHMSDH1390	2257980
20DHMSDH1393	1681906
20DHMSDH1394	1475485
20DHMSDH1395	1547210
20DHMSR1396	2439783
20DHMSR1397	2937256
20DHMSR1400	1441102
20DHMSR1398	3199552
20DHMSR1401	1538467
20DHMSR1402	1684136
20DHMSR1399	4537304
20DHMSR1403	2073213
20DHMSR1404	1775518
20DHMYW1375	1213044
20GDAW0771	3353145
20GDAW0774	3385061
20GDAW0773	4242464
20GDAW0772	5055701
20GDAW0776	3661063
20GDAW0777	4076464
20GDAW0778	3695370
20GDBM0781	2509394
20GDAW0779	3735322
20GDKW0741	2558100
20GDBM0782	3655287
20GDAW0775	17461034
20GDAW0780	4947398
20GDKW0742	3226096
20GDKW0745	2744428
20GDKW0744	3069320
20GDKW0746	3271558
20GDKW0743	5836323
20GDKW0747	4406629
20GDKW0749	2495549
20GDKW0748	4563225
20GDKW0750	3660327
20GDSDH0752	2875596
20GDSDH0751	2973199
20GDSDH0754	2850058
20GDSDH0753	5074955
20GDSDH0755	2747826
20GDSDH0756	2933422
20GDSDH0759	2295693
20GDSDH0758	3382751
20GDSDH0757	4481929
20GDSDH0760	3405417
20GDSR0761	4513161
20GDSR0762	4413878
20GDSR0763	4948599
20GDSDH0783	6666391
20GDSR0767	3914618
20GDSR0765	4979564
20GDSR0764	5904555
20GDSR0766	6074818
20GDSR0768	4199170
20GDSR0769	4789059
20GDSR0770	7626013
20GDYW0731	5526440
20GDYW0732	4714677
20GDYW0733	4882943
20GDYW0735	3133432
20GDYW0734	3247240
20GDYW0736	3728797
20GDYW0737	3780677
20GDYW0739	2800781
20GDYW0738	3018391
20GDYW0740	5211573
20GSSR0691	4031854
20GSSR0692	4543458
20GSSR0693	4172193
20GSSR0696	3209584
20GSSR0695	5708085
20GSSR0698	3848861
20GSSR0694	7958062
20GSSR0697	7064286
20GSSR0700	4630884
20GXAW0514	4295790
20GXAW0516	3722594
20GXAW0515	5183452
20GSSR0699	11059212
20GXAW0518	3343075
20GXAW0517	4261648
20GXAW0520	3241246
20GXAW0519	5565002
20GXKW0498	2597709
20GXAW0522	4885644
20GXSDH0499	3657915
20GXAW0521	6439509
20GXSDH0500	2191976
20GXSDH0501	2497813
20GXSDH0503	3153288
20GXSDH0502	3804142
20GXSDH0504	3703447
20GXSDH0505	3879736
20GXSDH0507	2186258
20GXAW0523	6285701
20GXSDH0506	4778853
20GXSR0510	3695305
20GXSDH0508	5216847
20GXSR0509	5115518
20GXSR0511	3600903
20GXYW0497	3516690
20GXSR0512	4066444
20GXSR0513	5349686
20GZAW0457	1474368
20GZAW0458	1815599
20GZAW0460	1741388
20GZAW0459	3042254
20GZAW0461	2187118
20GZAW0463	2913304
20GZAW0462	3145407
20GZAW0464	3166418
20GZAW0465	2798390
20GZKW0428	5135345
20GZKW0427	4685207
20GZKW0429	8587800
20GZAW0466	5096452
20GZKW0430	6263234
20GZKW0431	6616235
20GZKW0432	4715375
20GZKW0435	4381272
20GZKW0433	6016398
20GZSDH0437	3152835
20GZSDH0438	2909845
20GZKW0436	5976823
20GZKW0434	10285793
20GZSDH0439	2599892
20GZSDH0442	2393140
20GZSDH0440	3391776
20GZSDH0441	3390951
20GZSDH0443	2561434
20GZSDH0445	2003477
20GZSDH0446	1712522
20GZSDH0444	3131312
20GZSR0447	4888992
20GZSR0448	4805399
20GZSR0450	5762016
20GZSR0449	6901785
20GZSR0451	4357749
20GZSR0452	5564110
20GZSR0454	4860831
20GZSR0453	7096911
20GZSR0455	5941022
20GZYW0418	1740410
20GZYW0417	5726173
20GZYW0419	4893299
20GZSR0456	7582180
20GZYW0423	3390132
20GZYW0420	6862043
20GZYW0421	4901588
20GZYW0422	4750246
20GZYW0425	4719693
20HEBAW0711	1386022
20HEBAW0712	1916036
